material_id,formula_pretty,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,total_magnetization,nsites,density,volume,energy_per_atom,e_total,is_magnetic,space_group_symbol,space_group_number,crystal_system,point_group,ordering,icsd_ids,has_props,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-bni,K2S,-1.247886656770833,0.0,True,2.3201,0.0,3,1.79720207513612,101.87707708492104,-7.938075023333333,6.361371610202096,False,Fm-3m,225,Cubic,m-3m,NM,"icsd-183837,icsd-60439,icsd-641321,icsd-26735","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-lix,K2S3,-0.9450748251874991,0.0,True,1.2855,0.0,10,2.12611636609544,272.4065994738514,-8.172802736,8.007551410000366,False,Cmc2_1,36,Orthorhombic,mm2,NM,icsd-1263,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-ciqsa,RbS,-0.750668962499999,0.40879604083333104,False,0.0,1.9882034,4,2.864864138080151,136.2492576263483,-3.309634855,,True,P2_1/m,11,Monoclinic,2/m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cpdcm,RbS,-0.162013682499999,0.9974513208333311,False,0.329099999999999,1.0000168,2,0.43026736970699203,453.5965767977985,-2.7209795750000003,,True,C2/m,12,Monoclinic,2/m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cpdcj,RbS,-0.724069387499999,0.43539561583333103,False,0.0,0.0202391,2,3.3510710889422253,58.24042547199132,-3.28303528,,False,P4/mmm,123,Tetragonal,4/mmm,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cpdck,RbS,-0.6658185224999991,0.49364648083333,False,0.0,1.0000641,2,3.001823648700659,65.01641296995008,-3.2247844150000002,,True,P4/mmm,123,Tetragonal,4/mmm,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-nko,RbS,-1.15946500333333,0.0,True,1.5781,0.0,12,2.796485592496512,418.74230969876413,-3.718430895833331,6.242213410489282,False,P-62m,189,Hexagonal,-6m2,NM,icsd-73176,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-ciess,RbS,-0.665814732499999,0.493650270833331,False,0.0,0.999995299999999,2,3.020907255277696,64.60569276528275,-3.224780625,,True,Pm-3m,221,Cubic,m-3m,FM,,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-ciegr,RbS,-0.568788152499999,0.590676850833331,False,0.0,0.999954999999999,2,2.476447311469058,78.80959352658651,-3.127754045,,True,Fm-3m,225,Cubic,m-3m,FM,"icsd-33976,icsd-33978,icsd-33975,icsd-33979,icsd-33977,icsd-33678,icsd-26734,icsd-33980","{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-bpnvv,RbS,-0.9836444724999991,0.17582053083333002,False,0.0,0.0001903,4,2.965804700531147,131.61204173149486,-3.542610365,,False,Cmcm,63,Orthorhombic,mmm,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
